,home_team,visitor_team,home_points,visitor_points,winner,favorite,spread,total,cover,over,date,age_diff,sos_diff,srs_diff,off_rtg_diff,def_rtg_diff,net_rtg_diff,pace_diff,fta_per_fga_pct_diff,fg3a_per_fga_pct_diff,ts_pct_diff,efg_pct_diff,tov_pct_diff,orb_pct_diff,ft_rate_diff,opp_efg_pct_diff,opp_tov_pct_diff,drb_pct_diff,opp_ft_rate_diff
83,bostonceltics,newjerseynets,89,70,19,Boston,-12.5,180,1,0,104,3.2,0.13,8.63,-1.9,-11.4,9.5,0.3,-0.01,-0.08,0.02,0.02,0.4,-8.1,-0.01,-0.06,1.2,1.7,0.01
84,detroitpistons,chicagobulls,83,99,-16,Chicago,6.5,180.5,0,1,104,-0.8,0.36,-12.62,-6.4,8.0,-14.4,0.1,0.02,-0.03,-0.01,-0.02,1.8,-4.5,0.03,0.05,1.4,-1.5,0.05
85,miamiheat,indianapacers,118,83,35,Miami,-7.5,197.5,1,1,104,2.0,0.44,3.12,-0.1,-2.9,2.8,0.5,-0.01,0.0,0.02,0.03,1.4,-2.6,-0.01,0.0,1.7,1.6,-0.02
86,newyorkknicks,charlottebobcats,110,118,-8,NewYork,-11.5,201.5,0,1,104,1.8,-0.76,16.35,9.2,-9.4,18.6,2.1,0.03,0.12,0.05,0.05,1.0,3.0,0.02,-0.03,3.1,2.8,0.02
87,minnesotatimberwolves,memphisgrizzlies,86,90,-4,Minnesota,-4.5,196.5,0,0,104,-1.2,-0.05,-4.26,0.3,4.8,-4.5,2.5,0.03,0.1,0.01,0.0,0.4,-2.3,0.03,0.01,-4.1,0.3,-0.04
88,neworleanshornets,philadelphia76ers,93,101,-8,Philadelphia,5.5,181.5,0,1,104,0.6,1.3,-6.7,-3.0,5.9,-8.9,-1.4,0.06,-0.02,0.01,-0.0,4.3,3.1,0.05,0.03,0.0,-2.1,0.03
89,dallasmavericks,phoenixsuns,98,89,9,Dallas,-7.5,194.5,1,0,104,2.4,0.3,1.49,-2.9,-4.2,1.3,-1.2,-0.01,0.03,-0.01,-0.01,0.1,-2.4,-0.0,-0.01,0.8,3.1,0.0
90,sanantoniospurs,goldenstatewarriors,101,95,6,SanAntonio,-7.5,189.5,0,1,104,2.2,-0.51,10.07,5.5,-5.9,11.4,0.6,0.03,0.01,0.02,0.02,-0.5,2.2,0.02,-0.01,-0.7,6.9,-0.07
91,denvernuggets,sacramentokings,110,83,27,Denver,-11.0,209,1,0,104,2.3,-0.44,8.11,5.4,-3.6,9.0,-0.5,0.06,0.01,0.05,0.04,1.1,-1.4,0.04,-0.01,0.4,3.8,-0.01
92,laclippers,houstonrockets,117,89,28,LAClippers,-7.0,207,1,0,104,1.1,-0.09,2.25,3.0,0.5,2.5,-2.5,0.05,0.03,0.0,0.01,-0.8,2.0,0.01,0.0,0.4,-0.2,0.04
93,atlantahawks,miamiheat,109,116,-7,Atlanta,-4.0,186,0,1,105,-0.4,-0.5,-3.05,-1.7,1.0,-2.7,-1.0,-0.05,0.05,-0.01,-0.01,-1.1,-2.7,-0.05,0.0,-1.4,0.5,-0.01
94,sanantoniospurs,dallasmavericks,93,71,22,SanAntonio,-2.0,189,1,0,105,-3.8,-0.72,5.5,7.6,0.9,6.7,1.5,0.01,-0.01,0.04,0.04,-0.6,1.7,0.01,0.01,-1.0,1.2,-0.04
95,sacramentokings,milwaukeebucks,103,100,3,Milwaukee,3,187,1,1,105,-1.9,1.23,-4.72,-1.7,4.6,-6.3,1.0,0.02,0.0,-0.01,-0.01,0.1,1.4,0.0,0.03,-0.7,-0.4,-0.02
96,portlandtrailblazers,lalakers,107,96,11,Portland,-3.5,184,1,1,105,-2.2,-0.13,-2.18,-0.3,2.0,-2.3,0.7,-0.04,0.05,-0.0,-0.0,-0.8,-2.8,-0.02,0.03,3.4,-2.0,0.04
97,charlottebobcats,atlantahawks,96,102,-6,Atlanta,1.5,184,0,1,106,-3.4,0.72,-16.63,-9.7,9.2,-18.9,0.9,0.02,-0.08,-0.05,-0.06,0.5,-0.3,0.01,0.03,-1.6,-3.5,0.02
98,philadelphia76ers,detroitpistons,96,73,23,Philadelphia,-10.0,186,1,0,106,-1.4,-0.25,8.78,2.9,-7.1,10.0,0.5,-0.06,0.0,0.0,0.01,-4.1,-3.7,-0.05,-0.04,-0.7,2.4,-0.03
99,torontoraptors,newjerseynets,85,97,-12,Toronto,-6.0,181.5,0,1,106,-0.4,0.03,2.7,-2.1,-5.1,3.0,-0.8,0.01,-0.07,0.0,0.0,0.5,-1.9,0.0,-0.04,-0.9,4.7,0.05
100,washingtonwizards,newyorkknicks,96,99,-3,NewYork,6,200,1,0,106,-2.1,0.47,-7.53,-3.4,5.2,-8.6,-0.7,-0.05,-0.09,-0.03,-0.02,-0.7,0.7,-0.04,0.01,-1.7,-2.8,0.01
